-BEGIN HEADER-
NASA/POWER Source Native Resolution Daily Data 
Dates (month/day/year): 01/01/2025 through 12/31/2025 in LST
Location: latitude  25.033   longitude 121.5654 
elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = 100.59 meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
parameter(s): 
T2M                   MERRA-2 Temperature at 2 Meters (C) 
RH2M                  MERRA-2 Relative Humidity at 2 Meters (%) 
PRECTOTCORR           MERRA-2 Precipitation Corrected (mm/day) 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (MJ/m^2/day) 
-END HEADER-
YEAR,DOY,T2M,RH2M,PRECTOTCORR,ALLSKY_SFC_SW_DWN
2025,135,26.32,86.79,2.09,26.99
2025,136,27.0,85.53,11.71,25.61
2025,137,27.61,88.95,12.76,23.31
2025,138,27.74,88.95,10.85,16.86
2025,139,27.64,87.32,6.57,14.37
2025,140,28.26,86.24,8.64,16.84
2025,141,28.35,85.27,3.54,13.91
2025,142,27.97,87.82,4.25,14.59
2025,143,28.72,83.68,1.64,20.98
2025,144,25.81,83.45,10.86,4.35
2025,145,24.44,76.78,5.56,6.25
2025,146,22.92,79.63,6.93,5.65
2025,147,25.03,79.56,4.59,14.32
2025,148,25.19,90.7,45.49,7.94
2025,149,23.74,89.41,24.62,4.52
2025,150,24.13,78.91,0.74,26.1
2025,151,25.62,83.15,0.6,22.83
2025,152,26.77,90.15,7.74,21.76
2025,153,28.36,86.39,1.84,24.18
2025,154,25.36,91.7,15.68,2.94
2025,155,25.51,83.13,7.57,11.15
2025,156,26.26,78.25,13.85,8.08
2025,157,27.17,87.6,33.63,19.76
2025,158,28.09,92.81,25.11,23.44
2025,159,28.21,90.99,11.2,23.16
2025,160,28.21,90.51,7.34,22.64
2025,161,28.07,90.5,5.81,26.61
2025,162,27.91,90.35,2.88,27.01
2025,163,27.82,90.21,5.37,6.77
2025,164,27.82,91.49,64.86,14.85
2025,165,28.32,88.38,3.43,17.09
2025,166,28.68,86.5,0.52,26.79
2025,167,28.71,86.88,10.1,19.73
2025,168,27.56,86.86,3.76,13.1
2025,169,27.75,84.01,2.05,23.87
2025,170,27.73,88.23,0.48,24.72
2025,171,28.52,85.11,1.81,25.22
2025,172,28.57,85.57,1.96,24.26
2025,173,28.67,84.39,2.49,24.74
2025,174,28.64,86.66,3.1,20.88
2025,175,28.71,85.12,2.19,24.65
2025,176,28.64,86.19,1.66,25.1
2025,177,28.8,84.2,1.26,25.06
2025,178,29.11,80.56,1.98,26.92
2025,179,28.72,80.04,1.36,27.12
2025,180,28.31,85.67,2.67,23.42
2025,181,28.46,86.57,2.93,28.22
2025,182,28.6,85.87,1.53,27.98
2025,183,28.93,83.69,1.21,27.21
2025,184,28.79,80.47,1.86,26.97
2025,185,28.76,84.34,2.4,25.3
2025,186,28.52,82.95,2.07,25.47
2025,187,27.74,86.23,10.92,18.84
2025,188,29.11,81.56,47.17,5.78
2025,189,29.6,80.56,14.12,8.98
2025,190,27.99,87.56,24.09,7.45
2025,191,26.95,88.68,82.29,11.25
2025,192,27.32,90.92,15.91,9.29
2025,193,28.48,89.48,14.57,10.95
2025,194,28.93,85.66,2.89,22.83
2025,195,28.72,87.67,23.15,11.45
2025,196,29.31,80.18,2.08,25.27
2025,197,28.71,88.33,6.3,22.99
2025,198,28.41,90.43,4.79,22.43
2025,199,28.24,89.45,12.41,23.96
2025,200,28.19,91.43,12.16,10.17
2025,201,27.98,89.65,11.9,11.75
2025,202,27.2,90.16,54.63,8.1
2025,203,27.65,90.82,16.23,17.51
2025,204,28.0,89.29,4.46,26.21
2025,205,27.64,91.88,7.75,23.19
2025,206,27.82,91.25,7.23,12.87
2025,207,28.32,90.97,37.07,17.92
2025,208,28.51,90.59,16.92,3.93
2025,209,27.97,90.38,44.23,15.42
2025,210,28.06,88.05,11.94,20.48
2025,211,29.57,83.21,28.77,24.26
2025,212,29.14,84.59,6.26,22.37
2025,213,28.64,86.83,3.93,20.93
2025,214,28.92,85.75,14.38,20.39
2025,215,28.9,85.96,5.66,17.39
2025,216,28.8,79.16,3.18,20.46
2025,217,28.68,86.75,1.84,13.53
2025,218,28.72,85.68,1.49,23.29
2025,219,28.79,83.99,0.43,25.23
2025,220,28.97,86.14,0.24,23.46
2025,221,29.15,87.73,1.22,24.02
2025,222,29.01,86.4,3.61,21.13
2025,223,29.17,86.08,14.17,22.77
2025,224,28.73,86.73,2.14,24.02
2025,225,28.14,86.83,5.59,23.75
2025,226,28.05,86.3,2.32,25.71
2025,227,27.92,86.57,1.3,25.27
2025,228,27.62,86.8,3.13,25.47
2025,229,28.0,84.34,0.59,25.71
2025,230,28.28,85.85,2.14,24.66
2025,231,28.35,81.16,0.83,22.52
2025,232,28.54,81.72,0.91,23.42
2025,233,28.98,79.32,2.06,24.93
2025,234,28.51,83.36,0.35,25.89
2025,235,28.42,86.47,0.33,25.29
2025,236,28.49,84.49,1.26,22.63
2025,237,28.39,85.75,1.71,25.39
2025,238,28.06,87.11,3.65,24.03
2025,239,27.5,84.72,0.93,19.6
2025,240,28.16,86.84,0.95,25.11
2025,241,27.95,86.04,0.93,24.73
2025,242,28.25,85.02,0.61,23.63
2025,243,28.55,83.09,0.49,22.78
2025,244,27.93,80.5,0.75,12.7
2025,245,28.35,80.77,3.02,18.41
2025,246,29.02,81.17,2.63,23.43
2025,247,28.18,83.92,0.36,23.64
2025,248,28.66,82.56,0.48,24.28
2025,249,28.9,85.75,0.72,23.86
2025,250,29.06,85.58,1.22,19.16
2025,251,29.08,79.61,3.76,20.98
2025,252,29.71,77.06,1.88,20.22
2025,253,28.92,80.09,1.2,21.62
2025,254,28.55,83.1,0.26,21.55
2025,255,28.67,80.77,0.22,22.69
2025,256,29.22,81.72,0.54,23.12
2025,257,28.53,82.15,0.65,21.61
2025,258,28.39,84.86,0.63,23.17
2025,259,28.63,85.66,0.96,21.93
2025,260,28.51,84.81,0.63,23.53
2025,261,28.49,82.02,0.81,20.69
2025,262,28.02,85.93,2.11,17.47
2025,263,28.15,84.87,3.74,19.73
2025,264,28.28,88.43,5.25,19.44
2025,265,28.34,89.03,11.99,18.77
2025,266,27.95,89.0,16.62,4.83
2025,267,28.12,86.61,3.08,20.97
2025,268,27.98,87.55,1.26,22.65
2025,269,27.75,89.39,2.15,10.35
2025,270,27.83,88.86,1.11,21.27
2025,271,27.86,89.37,0.63,22.17
2025,272,27.86,84.71,0.15,20.39
2025,273,27.54,82.31,0.04,21.54
2025,274,28.08,82.32,0.19,20.88
2025,275,27.99,84.64,0.09,20.2
2025,276,27.94,84.39,0.52,21.85
2025,277,28.22,86.17,1.81,21.46
2025,278,28.62,80.51,0.51,21.13
2025,279,27.94,84.04,0.35,20.9
2025,280,27.94,85.18,0.52,20.53
2025,281,28.22,83.11,0.62,16.36
2025,282,27.71,84.75,0.2,19.58
2025,283,27.84,83.41,0.31,15.94
2025,284,27.78,86.3,0.22,18.33
2025,285,28.17,83.52,0.17,19.75
2025,286,28.1,82.97,4.63,20.43
2025,287,27.95,82.56,6.45,19.73
2025,288,27.75,80.21,0.79,19.84
2025,289,28.24,80.73,1.79,19.3
2025,290,28.1,84.78,2.81,17.53
2025,291,27.8,84.88,1.9,19.14
2025,292,27.06,89.33,11.35,6.55
2025,293,26.1,88.04,33.77,3.5
2025,294,24.97,89.36,51.8,4.32
2025,295,24.44,88.78,27.24,3.52
2025,296,24.95,85.23,12.5,4.31
2025,297,25.05,85.45,9.59,3.9
2025,298,24.83,87.57,6.56,4.11
2025,299,24.33,83.63,5.09,8.38
2025,300,23.68,80.22,2.24,3.92
2025,301,23.46,83.04,13.92,3.62
2025,302,24.56,80.06,3.2,13.28
2025,303,25.77,84.87,6.02,7.96
2025,304,23.54,82.4,1.26,12.47
2025,305,23.61,77.03,0.99,10.32
2025,306,23.09,76.52,2.65,5.1
2025,307,22.59,79.2,6.41,2.33
2025,308,23.59,87.43,22.8,3.58
2025,309,23.79,88.42,9.05,10.01
2025,310,24.51,82.72,1.54,12.89
2025,311,25.16,85.66,1.28,15.02
2025,312,24.94,84.8,0.27,16.84
2025,313,25.12,86.62,1.21,10.55
2025,314,23.76,89.77,15.74,4.84
2025,315,24.92,94.45,62.58,3.88
2025,316,25.23,94.17,39.19,3.94
2025,317,22.91,87.35,17.62,6.08
2025,318,23.11,76.82,0.75,8.71
2025,319,22.93,77.07,0.21,13.18
2025,320,24.22,81.09,3.62,12.47
2025,321,24.21,86.38,7.24,2.11
2025,322,19.68,82.79,5.56,2.13
2025,323,17.43,76.43,0.72,2.75
2025,324,19.76,71.89,0.2,4.75
2025,325,21.63,73.56,0.28,4.88
2025,326,21.64,76.71,5.91,7.73
2025,327,23.52,78.56,4.81,13.26
2025,328,23.68,81.23,17.43,13.58
2025,329,20.41,69.97,32.91,10.84
2025,330,19.52,72.76,0.51,11.09
2025,331,21.19,70.51,0.82,10.87
2025,332,19.58,70.45,0.11,12.36
2025,333,21.31,76.21,0.29,13.51
2025,334,23.14,89.45,5.03,12.26
2025,335,22.28,89.02,10.99,11.82
2025,336,22.22,86.98,7.17,11.67
2025,337,19.16,78.14,2.04,5.76
2025,338,18.22,71.86,0.07,10.32
2025,339,20.08,73.01,1.18,3.9
2025,340,20.49,77.68,2.09,11.5
2025,341,21.49,74.49,0.28,14.57
2025,342,21.27,81.82,8.27,9.78
2025,343,21.3,82.82,15.82,6.16
2025,344,21.42,84.03,11.98,10.07
2025,345,19.81,84.54,1.6,12.95
2025,346,21.0,83.86,5.01,5.14
2025,347,20.15,87.56,3.79,2.66
2025,348,15.27,75.82,0.7,9.35
2025,349,17.41,74.53,0.13,9.55
2025,350,20.6,76.58,0.24,14.39
2025,351,21.26,78.69,0.51,12.53
2025,352,20.86,81.45,3.44,3.86
2025,353,22.11,86.65,8.96,5.66
2025,354,21.63,89.86,1.89,8.72
2025,355,19.56,84.77,3.56,6.01
2025,356,19.31,81.14,0.69,7.44
2025,357,21.42,78.88,0.26,12.02
2025,358,21.32,87.12,1.45,11.4
2025,359,16.46,85.79,7.89,1.73
2025,360,16.1,76.57,1.39,3.19
2025,361,17.54,81.83,4.59,3.16
2025,362,19.17,86.98,11.8,4.31
2025,363,20.47,87.73,9.74,12.4
2025,364,19.85,88.44,6.73,6.6
2025,365,19.16,86.16,5.6,2.86
